ma_hieu,ten_cong_tac,tu_khoa,don_vi,don_gia_vat_tu,don_gia_nhan_cong,don_gia_may,ghi_chu
MEP.HV.01,Ống gió tôn tráng kẽm,ong gio|duct|hvac_duct|air duct,m2,320000,85000,15000,Tôn 0.6mm kèm bảo ôn
MEP.HV.02,Miệng gió cấp/hồi 600x600,diffuser|mieng gio|diffuser_supply|diffuser_return,Bộ,850000,120000,0,Nhôm sơn tĩnh điện
MEP.HV.03,Dàn lạnh FCU,fcu|dan lanh|fan coil,Bộ,12500000,850000,150000,Bao gồm giá treo
MEP.HV.04,Ống đồng gas lạnh,ong dong|refrigerant|ong gas,m,185000,65000,0,Kèm bảo ôn cao su
MEP.EL.01,Cáp điện Cu/XLPE/PVC 4x25,cap dien|cable|cap|day dien,m,265000,45000,0,Đơn giá tham chiếu tiết diện 25mm2
MEP.EL.02,Đèn LED panel 600x600,den|light|light_panel|lighting|led,Bộ,780000,95000,0,Công suất 36W
MEP.EL.03,Đèn downlight LED,downlight|light_downlight,Bộ,320000,65000,0,Công suất 9W
MEP.EL.04,Ổ cắm đôi 3 chấu,o cam|socket,Bộ,145000,55000,0,Kèm đế âm
MEP.EL.05,Công tắc đơn,cong tac|switch,Bộ,95000,45000,0,
MEP.EL.06,Máng cáp sơn tĩnh điện 200x100,mang cap|cable tray|thang cap,m,420000,110000,20000,Kèm phụ kiện liên kết
MEP.EL.07,Tủ điện phân phối,tu dien|panel|db|distribution board,Bộ,18500000,1500000,200000,Vỏ tủ + thiết bị đóng cắt
MEP.PL.01,Ống uPVC D110 thoát nước,upvc|ong thoat|d110|ong nuoc thai|drain,m,145000,48000,0,Kèm phụ kiện và giá đỡ
MEP.PL.02,Ống PPR cấp nước D25,ppr|ong cap nuoc|cap nuoc|water pipe,m,95000,42000,0,Kèm phụ kiện
MEP.PL.03,Bơm cấp nước sinh hoạt,bom|pump|bom cap nuoc,Bộ,24500000,1800000,350000,Kèm bệ và giảm chấn
MEP.PL.04,Bể nước inox,be nuoc|water tank|bon nuoc,m3,4200000,450000,0,Inox SUS304
MEP.FF.01,Đầu phun Sprinkler,sprinkler|dau phun,Bộ,185000,75000,0,"Hướng xuống, bầu thủy tinh 68 độ C"
MEP.FF.02,Ống thép đen PCCC DN100,ong thep|ong pccc|steel pipe|dn100,m,385000,125000,25000,Kèm sơn chống gỉ
MEP.FF.03,Bình chữa cháy bột ABC 8kg,binh chua chay|extinguisher|binh bot,Bình,485000,25000,0,
MEP.FF.04,Tủ họng nước vách tường,hong nuoc|hydrant|tu chua chay,Bộ,3850000,450000,0,Kèm cuộn vòi và lăng phun
MEP.FF.05,Bơm chữa cháy,bom chua chay|fire pump,Bộ,185000000,12000000,3500000,Cụm bơm điện + diesel + jockey
